frame-001.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-002.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-003.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-004.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-005.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-006.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-007.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-008.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-009.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-010.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-011.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-012.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-013.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-014.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-015.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-016.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-017.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-018.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-019.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-020.yuv.gz, 2, 295, 196, 338, 196, 1104, 302, 1183, 314
frame-021.yuv.gz, 2, 309, 208, 351, 208, 1112, 313, 1197, 325
frame-022.yuv.gz, 1, 496, 214, 527, 219, -1, -1, -1, -1
frame-023.yuv.gz, 1, 625, 220, 669, 218, -1, -1, -1, -1
frame-024.yuv.gz, 1, 621, 207, 675, 207, -1, -1, -1, -1
frame-025.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-026.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-027.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-028.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-029.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-030.yuv.gz, 2, 621, 207, 675, 207, -1, -1, -1, -1
frame-031.yuv.gz, 1, 624, 166, 669, 166, -1, -1, -1, -1
frame-032.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-033.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-034.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-035.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-036.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-037.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-038.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-039.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-040.yuv.gz, 1, 480, 206, 511, 209, -1, -1, -1, -1
frame-041.yuv.gz, 2, 334, 379, 376, 386, 1143, 481, 1233, 494
frame-042.yuv.gz, 2, 288, 440, 334, 445, 1091, 553, 1174, 558
frame-043.yuv.gz, 2, 273, 529, 333, 531, 1093, 643, 1183, 655
frame-044.yuv.gz, 2, 273, 529, 333, 531, 1093, 643, 1183, 655
frame-045.yuv.gz, 2, 289, 447, 334, 449, 1094, 563, 1176, 575
frame-046.yuv.gz, 2, 288, 430, 337, 429, 1090, 537, 1177, 547
frame-047.yuv.gz, 2, 288, 430, 337, 429, 1090, 537, 1177, 547
frame-048.yuv.gz, 2, 292, 416, 340, 417, 1093, 526, 1180, 540
frame-049.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-050.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-051.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-052.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-053.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-054.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-055.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-056.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-057.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-058.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1
frame-059.yuv.gz, 0, -1, -1, -1, -1, -1, -1, -1, -1

